TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr2,dist1,dist2,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6
2987045,0,87275,36.95,W,16132,111,150,visa,226,debit,87,0,,yahoo.com,,190,145,0,0,142,147,0,0,129,0,132,0,527,148,91,68,23,289,46,,,,,289,289,,,,289,T,T,T,,,F
2987046,0,87285,49,W,12544,321,150,visa,226,debit,87,30,,gmail.com,,1,1,0,0,0,2,0,0,1,0,1,0,2,1,3,3,2,0,,,,,,2,2,,,,2,T,T,T,M0,F,F
2987047,0,87285,15,W,4208,490,150,visa,195,debit,87,,,anonymous.com,,1,1,0,0,0,1,0,0,1,0,1,0,2,1,108,108,107,107,107,,,,,107,,,,,107,,,,M0,F,T
2987048,0,87317,42.294,C,15885,545,185,visa,138,debit,,,,outlook.com,outlook.com,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,,,0,,0,,,,0,,0,0,0,0,,,,M2,,
2987049,0,87317,3.595,C,12730,266,185,mastercard,224,credit,,,149,anonymous.com,anonymous.com,1,2,0,2,0,2,2,2,0,2,1,1,2,1,66,66,65,0,,0,,,,0,,0,0,0,65,,,,M2,,
2987050,0,87319,117,W,10045,114,150,visa,226,debit,87,16,,gmail.com,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,M1,T,T
2987051,0,87328,226,W,7835,361,150,visa,226,debit,87,80,,yahoo.com,,4,4,0,0,0,1,0,0,2,0,1,0,11,3,29,29,0,259,0,,,,,28,259,,,,259,T,T,T,M0,T,T
2987052,0,87333,117,W,7826,481,150,mastercard,224,debit,87,5,,gmail.com,,8,1,0,0,0,4,0,0,4,0,2,0,34,7,0,,,365,22,,,,,365,294,,,,406,T,F,F,M0,F,T
2987053,0,87349,130.95,W,18018,452,150,mastercard,117,debit,87,7,,yahoo.com,,5,6,0,0,5,7,0,0,4,0,4,0,23,4,394,394,28,0,,,,,,0,426,,,,458,T,T,T,,,T
2987054,0,87401,34,W,18370,547,150,visa,226,debit,87,,,gmail.com,,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,M0,T,T
2987055,0,87413,210.95,W,3670,111,150,visa,226,debit,87,,,gmail.com,,1,1,0,0,1,1,0,0,1,0,1,0,2,1,21,21,20,20,20,,,,,20,,,,,20,,,,,,F
2987056,0,87440,500,W,1955,383,150,visa,226,debit,87,,,,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,5,5,5,,,,,,,5,,,,,5,,,,M0,F,F
2987057,0,87445,50,H,11839,490,150,visa,226,debit,87,,,gmail.com,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,0,,,,,,,,,,,0,,,,,,
2987058,0,87532,380.21,W,16659,170,150,visa,226,credit,87,,,,,1,1,0,0,1,1,0,0,0,0,1,0,2,1,36,36,35,,,,,,,35,,,,,35,,,,,,T
2987059,0,87557,35.95,W,9785,343,150,visa,100,debit,87,154,,gmail.com,,12,11,0,0,6,7,0,0,9,0,9,0,39,10,0,,,319,222,,,,,0,0,,,,0,T,F,F,,,F
2987060,0,87581,2454,W,2213,556,150,mastercard,224,debit,87,,,hotmail.com,,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,,,T
2987061,0,87596,58.95,W,12544,321,150,visa,226,debit,87,16,,gmail.com,,1,2,0,0,2,1,0,0,1,0,1,0,2,1,12,12,0,0,0,,,,,0,12,,,,12,T,T,T,,,T
2987062,0,87601,200,W,18132,567,150,mastercard,117,debit,87,7,,yahoo.com,,1,1,0,0,1,2,0,0,1,0,1,0,4,1,104,104,39,94,39,,,,,104,104,,,,104,T,T,T,,,T
2987063,0,87604,80,W,17967,285,150,visa,226,debit,87,,,yahoo.com,,3,2,0,0,2,2,0,0,2,0,3,0,23,3,464,464,19,463,19,,,,,463,,,,,248,,,,,,F
2987064,0,87611,250,W,3278,453,150,visa,226,debit,87,,,gmail.com,,6,4,0,0,0,3,0,0,1,0,3,0,7,3,238,32,0,237,0,,,,,331,,,,,237,,,,M1,F,
2987065,0,87650,114.95,W,17188,321,150,visa,226,debit,87,1,,,,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,,,,,,,,,0,0,,,,0,T,T,T,,,T
2987066,0,87660,300,H,15333,562,150,visa,226,credit,87,,,anonymous.com,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,,,,,189,0,,,,,,,,,,,,
2987067,0,87664,445,W,1240,302,150,visa,195,credit,87,24,,,,2,1,0,0,0,3,0,0,2,0,1,0,45,2,239,239,0,,,,,,,466,435,,,,466,T,T,T,M0,F,F
2987068,0,87667,3.081,C,14076,545,185,visa,147,credit,,,,hotmail.com,hotmail.com,2,5,0,1,0,1,1,0,0,0,1,1,4,2,36,36,8,35,8,35,8,,,0,,35,,,35,,,,M0,,
2987069,0,87725,20,S,12866,303,150,visa,226,debit,87,,84,,hotmail.com,7,1,0,3,0,0,0,5,0,11,1,0,12,6,0,,,,,216,4,126,0,284,,,,,284,,,,,,
2987070,0,87735,100,H,3682,264,150,visa,162,credit,87,,,anonymous.com,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,
2987071,0,87736,59,W,1662,111,150,visa,195,debit,87,,,gmail.com,,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,M1,F,F
2987072,0,87752,6.767,C,13832,375,185,mastercard,224,debit,,,,outlook.com,outlook.com,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,,,0,,0,,,,0,,0,0,0,0,,,,M2,,
2987073,0,87759,554,W,1955,383,150,visa,226,debit,87,5,,yahoo.com,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,5,5,0,5,5,,,,,5,5,,,,5,T,T,T,M0,F,F
2987074,0,87775,27.793,C,15885,545,185,visa,138,debit,,,100,gmail.com,gmail.com,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,,,0,,0,,,,0,,0,0,0,0,,,,M2,,
2987075,0,87779,68.5,W,4806,490,150,visa,226,debit,87,,,gmail.com,,8,4,0,0,0,6,0,0,4,0,5,0,18,5,478,478,0,477,0,,,,,0,,,,,477,,,,M1,T,T
2987076,0,87787,36.95,W,18132,567,150,mastercard,117,debit,87,1,,,,1,2,0,0,1,0,0,0,1,0,1,0,3,1,47,47,15,,,,,,,15,15,,,,46,T,T,T,,,F
2987077,0,87793,280,W,3278,453,150,visa,226,debit,87,,,gmail.com,,6,4,0,0,0,3,0,0,1,0,3,0,7,3,238,32,0,237,0,,,,,331,,,,,237,,,,M1,F,
2987078,0,87825,300,W,14858,558,150,visa,226,debit,87,2239,,,,2,2,0,0,1,0,0,0,1,0,2,0,8,2,456,456,31,,,,,,,455,300,,,,455,T,F,F,,,F
2987079,0,87839,28.699,C,4504,500,185,mastercard,219,credit,,,,hotmail.com,hotmail.com,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,,,0,,0,,,,0,,0,,,0,,,,M2,,
2987080,0,87856,60,W,7207,111,150,visa,226,debit,87,,,comcast.net,,2,1,0,0,1,1,0,0,1,0,1,0,9,2,0,,,456,32,,,,,456,0,,,,456,T,T,T,,,F
2987081,0,87868,104.95,W,17188,321,150,visa,226,debit,87,1,,gmail.com,,4,4,0,0,1,7,0,0,3,0,3,0,17,4,216,216,20,198,20,,,,,0,215,,,,218,T,T,T,,,T
2987082,0,87899,280,W,15066,170,150,mastercard,102,credit,87,,,optonline.net,,2,2,0,0,0,1,0,0,1,0,1,0,12,2,78,78,3,77,1,,,,,24,,,,,77,,,,M0,T,F
2987083,0,87924,411.95,W,14695,396,150,mastercard,224,credit,87,22,,gmail.com,,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,,,T
2987084,0,87928,125.674,C,5583,103,185,visa,226,credit,,,744,anonymous.com,anonymous.com,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,,,0,,0,,,,0,,0,0,0,0,,,,M0,,
2987085,0,87935,42.596,C,15885,545,185,visa,138,debit,,,,anonymous.com,anonymous.com,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,,,0,,0,,,,0,,0,,,0,,,,M2,,
2987086,0,87950,44.5,W,11815,206,150,mastercard,166,debit,87,6,,gmail.com,,5,2,0,0,0,1,0,0,1,0,2,0,7,4,31,31,30,289,30,,,,,289,275,,,,289,T,T,T,M0,T,F
2987087,0,88004,88.95,W,1549,143,150,visa,226,debit,87,9,,yahoo.com,,7,5,0,0,2,3,0,0,2,0,3,0,12,6,0,,,0,,,,,,0,420,,,,450,T,T,T,,,F
2987088,0,88021,140,W,18095,243,150,visa,226,debit,87,,,gmail.com,,2,2,0,0,2,1,0,0,3,0,2,0,6,1,404,404,14,403,14,,,,,403,,,,,403,,,,,,T
2987089,0,88042,318.95,W,17188,321,150,visa,226,debit,87,5,,gmail.com,,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,,,T
2987090,0,88046,77.821,C,15885,545,185,visa,138,debit,,,,gmail.com,gmail.com,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,,,0,,0,,,,0,,0,,,0,,,,M2,,
2987091,0,88053,107,W,14165,111,150,mastercard,224,debit,87,10,,,,2,1,0,0,0,0,0,0,1,0,1,0,5,2,57,57,56,,,,,,,140,314,,,,444,T,T,T,M0,T,F
2987092,0,88054,117,W,6481,111,150,visa,226,debit,87,327,,cox.net,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,M1,F,T
2987093,0,88070,50,H,5220,360,150,visa,226,credit,87,,,charter.net,charter.net,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,,,,,,,777,0,,,,,,,,,,,,
2987094,0,88107,527,W,5409,170,150,visa,226,credit,87,5,,yahoo.com,,2,1,0,0,0,1,0,0,1,0,1,0,2,2,0,,,5,0,,,,,5,5,,,,5,T,T,T,M0,F,F
2987095,0,88120,59,W,2538,476,150,visa,166,debit,87,,,anonymous.com,,1,2,0,0,0,2,0,0,1,0,1,0,2,1,72,72,71,71,71,,,,,71,,,,,71,,,,M0,F,F
2987096,0,88131,108.5,W,15121,555,150,visa,226,debit,87,,,gmail.com,,202,208,0,0,128,181,0,0,64,0,182,0,258,108,0,,,211,0,,,,,200,,,,,0,,,,M1,F,T
2987097,0,88147,21.5,W,2581,199,150,mastercard,202,debit,87,4,,gmail.com,,1,1,0,0,0,1,0,0,1,0,1,0,2,1,9,9,9,9,9,,,,,9,9,,,,9,T,T,T,M0,F,T
2987098,0,88149,159,W,6459,100,150,mastercard,224,credit,87,137,,hotmail.com,,1,1,0,0,0,1,0,0,1,0,1,0,3,1,40,40,9,39,9,,,,,39,39,,,,39,T,T,T,M2,T,T
2987099,0,88162,75,R,1214,174,150,visa,226,credit,87,,,gmail.com,gmail.com,2,1,0,2,0,1,0,1,0,2,1,0,2,2,0,,,,,,,12,0,,,,,0,,,,,,,
2987100,0,88169,100,H,16659,170,150,visa,226,credit,87,,,comcast.net,,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2987101,0,88174,25,H,4523,423,150,visa,226,debit,87,,,yahoo.com,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,,,,,255,0,,,,,,,,,,,,
2987102,0,88178,42.95,W,4186,446,150,visa,226,debit,87,0,,,,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,,,,,,,,,0,0,,,,0,T,T,T,,,F
2987103,0,88184,47.95,W,18370,547,150,visa,226,debit,87,31,,rocketmail.com,,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,,,F
2987104,0,88208,100,H,16659,170,150,visa,226,credit,87,,,comcast.net,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,,,,,0,0,,,,,,,,,,,,
2987105,0,88229,5.075,C,15885,545,185,visa,138,debit,,,,gmail.com,gmail.com,1,2,0,2,0,2,2,2,0,2,2,2,1,1,21,,21,0,,0,,,,0,,0,0,98,0,,,,M2,,
2987106,0,88230,92,W,12733,555,150,visa,226,debit,87,1,,gmail.com,,2,1,0,0,0,2,0,0,1,0,1,0,15,2,429,429,23,428,23,,,,,428,428,,,,428,T,T,T,M0,F,T
2987107,0,88258,226,W,9500,321,150,visa,226,debit,87,113,,aol.com,,3,3,0,0,0,2,0,0,1,0,2,0,8,2,119,119,28,327,28,,,,,327,226,,,,327,T,T,T,M0,T,T
2987108,0,88303,150,H,9515,492,150,visa,226,debit,87,,,gmail.com,gmail.com,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,
2987109,0,88346,107.95,W,2704,111,150,mastercard,117,debit,87,4,,gmail.com,,1,1,0,0,2,1,0,0,1,0,1,0,1,1,41,41,40,40,40,,,,,40,40,,,,40,T,T,F,,,F
2987110,0,88380,1153.95,W,1214,523,150,visa,226,credit,87,,,hotmail.com,,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,,,T
2987111,0,88383,18.186,C,13832,375,185,mastercard,224,debit,,,109,hotmail.com,hotmail.com,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,,,0,,0,,7,0,0,,0,0,0,0,,,,M0,,
2987112,0,88394,210.95,W,15497,490,150,visa,226,debit,87,5,,yahoo.com,,202,153,0,0,118,128,0,0,114,0,134,0,483,155,250,250,40,249,1,,,,,249,207,,,,249,T,T,T,,,T
2987113,0,88404,11.782,C,15885,545,185,visa,138,debit,,,,anonymous.com,anonymous.com,1,2,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,0,,0,,,0,,,,M2,,
2987114,0,88404,4.433,C,12184,440,185,visa,138,debit,,,7,gmail.com,gmail.com,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,,,0,,0,,4,0,0,,0,0,97,0,,,,M2,,
2987115,0,88410,75,W,11465,360,150,visa,166,debit,87,,,gmail.com,,4,2,0,0,1,1,0,0,1,0,1,0,14,4,56,56,19,143,11,,,,,97,,,,,143,,,,,,F
2987116,0,88435,34,W,10520,543,150,mastercard,224,debit,87,2,,gmail.com,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,M0,T,T
2987117,0,88440,200,W,9803,583,150,visa,226,credit,87,,,comcast.net,,2,2,0,0,0,1,0,0,1,0,1,0,3,2,1,1,0,292,0,,,,,0,,,,,292,,,,M1,T,F
2987118,0,88471,11.782,C,15885,545,185,visa,138,debit,,,,anonymous.com,anonymous.com,1,3,0,1,0,1,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,,,0,,0,,,0,,,,M2,,
2987119,0,88484,100,H,2456,399,150,american express,118,credit,87,,,anonymous.com,anonymous.com,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,,,,,,,128,0,,,,,,,,,,,,
2987120,0,88507,59,W,9749,528,150,visa,226,credit,87,5,,gmail.com,,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,M0,F,F
2987121,0,88517,50,H,1804,161,150,mastercard,117,debit,87,,,gmail.com,,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,,,,,,,2,0,,,,,,,,,,,,
2987122,0,88538,80,W,9500,321,150,visa,226,debit,87,36,,,,21,25,0,0,33,22,0,0,17,0,19,0,99,18,416,416,39,,,,,,,0,343,,,,416,T,T,T,,,T
2987123,0,88549,59,W,6550,,150,visa,226,debit,87,23,,,,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,,,,,,,,,0,0,,,,0,T,T,T,M0,T,F
2987124,0,88554,58.95,W,12873,535,150,visa,226,debit,87,112,,yahoo.com,,3,4,0,0,3,2,0,0,2,0,3,0,6,2,37,37,15,36,15,,,,,30,36,,,,36,T,T,T,,,
2987125,0,88556,50,H,1804,161,150,mastercard,117,debit,87,,,gmail.com,,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,,,,,,,2,0,,,,,,,,,,,,
2987126,0,88579,87.95,W,11279,354,143,visa,226,debit,87,,,gmail.com,,4,5,0,0,4,3,0,0,2,0,3,0,12,3,369,171,36,369,36,,,,,169,,,,,362,,,,,,F
2987127,0,88586,107.95,W,2704,111,150,mastercard,117,debit,87,,,gmail.com,,1,1,0,0,2,1,0,0,1,0,1,0,2,1,41,41,0,40,0,,,,,40,,,,,40,,,,,,F
2987128,0,88589,57.95,W,4106,543,150,mastercard,224,debit,87,,,yahoo.com,,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,,,T
2987129,0,88607,50,W,8394,490,150,visa,226,debit,87,,,yahoo.com,,2,3,0,0,0,1,0,0,1,0,1,0,43,2,157,157,30,479,30,,,,,454,,,,,454,,,,M0,T,F
2987130,0,88619,70.933,C,13329,569,117,visa,226,credit,,,,gmail.com,gmail.com,2,6,0,1,0,1,1,1,0,1,2,2,3,2,0,0,0,0,0,0,0,83,0,0,,0,0,0,0,,,,M0,,
2987131,0,88628,444.61,W,18227,583,150,visa,226,credit,87,8,,gmail.com,,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,,,0,,,,,,0,0,,,,0,T,T,T,,,T
2987132,0,88638,757.07,W,8684,117,150,visa,226,debit,87,,,gmail.com,,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,,,0,,,,,,0,,,,,0,,,,,,T
2987133,0,88647,2594.95,W,14349,170,150,mastercard,195,credit,87,,,gmail.com,,2,2,0,0,1,1,0,0,0,0,2,0,1,1,0,,,0,0,,,,,0,,,,,0,,,,,,T
2987134,0,88657,117,W,8406,264,150,visa,226,debit,87,30,,gmail.com,,2,1,0,0,0,2,0,0,1,0,2,0,3,2,0,,,229,229,,,,,229,229,,,,0,T,T,T,M1,F,F
2987135,0,88671,3000,W,2616,,150,discover,102,credit,87,9,,gmail.com,,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,,,0,,,,,,0,0,,,,0,T,F,F,,,T
